Soru,Cevap
Ders programı nedir?,Ders Programı okulumuz web sitesi https://emonerandl.meb.k12.tr/ da mevcuttur.
Kantin saat kaçta açılıyor?,Kantin saat 7.30'dan itibaren açık olmaktadır.
Öğretmenler odası nerede?,A kapısından giriş yaparak 1. kata çıktığınızda sağınızda kalmakta.
Devamsızlık hakkı kaç gün?,"20 gün özürlü, 10 gün özürsüz devamsızılık hakkınız bulunmakta"
Mezuniyet not ortalaması kaç olmalı?,50 puan ortalama gerekmektedir
Okul servisi saat kaçta geliyor?,"Okul çıkışında okuldan hareketmektedir, sabah saatleri için yetkili ile iletişime geçin."
Sınav haftası ne zaman başlıyor?,Sınav takvimi okulumuz web sitesi https://emonerandl.meb.k12.tr/ da mevcuttur.
Belge almak için nereye gitmeliyim?,"Belgelerin çok büyk kısmı e devlet üzerinden alınabilmektedir, aksi halde memur ile ileitşime geçiniz."
Rehberlik servisi hangi günler açık?,Haftanın her günü aktifitr. Gitmeden önce ki günlerde randevu almayı unutmayınız.
Okul kütüphanesi saat kaçta kapanıyor?,Saat 16.00 itibari ile kapanmaktadır
Öğrenci belgesi nasıl alınır?,E devlet portalı üzerindne temin edilebilmektedir.
Öğretmen görüşme saatleri nedir?,Öğretmen görüşme saatleri okulumuz web sitesi https://emonerandl.meb.k12.tr/ da mevcuttur.
Devamsızlık sildirme işlemi nasıl yapılır?,Okul memuru tarafından yapılmaktadır. Öğrenciler bu işlemi velisi yanında bulunmadan gerçekleştiremez.
Derse kabul belgesi nasıl alınır?,Okul memuru veya idarecilerden alınabilmektedir.
Kayıt için hangi belgeler gerekiyor?,Kayıt için gerkeli belgeler okulumuz web sitesi https://emonerandl.meb.k12.tr/ da mevcuttur.
Kayıt tarihleri ne zaman başlıyor?,Kayıt tarihler okul terchilerinin açıklanmasının ardından belirtilecektir.
Servis kaydı nasıl yapılır?,Servis yetkilisi ile iletişime geçebilrisniz
Veli toplantıları ne zaman yapılıyor?,Veli toplantıları düzenli arlaıklarla yapılıyor olup öncesinde web sitesi ve whatsapp grupları üzerinden bilgilendirme yapılmaktadır.
Rehberlik servisine nasıl ulaşabilirim?,Rehberlik odalarından kendilerine ulaşabilrisiniz.
"Yemekhane hizmeti var mı, varsa ücretli mi?",Yemekhane mevcut değil.
Okul kıyafeti nereden alınır?,"Okul kıyafetleri okula kayıt esnasında doğrudan okuldan temin edilir, daha sonra ise okul aile birliği tarafından sağlanır."
"Sabah kaçta okul başlıyor, kaçta bitiyor?",8.00 itibari ile ilk ders zili çalıp 15.00 itibariyle sona ermektedir.
Ders kitapları okuldan mı veriliyor?,Ders kitapları okulun ilk günü dağıtılmaktadır.
Eğitim yılı ne zaman başlıyor ve ne zaman bitiyor?,Eylül Ayının 2. haftası başlayıp Haziran ayının 2. haftası sona ermektedir.
Okula cep telefonu getirmek serbest mi?,Okula cep telefonu getirmek serbesttir ancak ders saatleri süresince öğrencilerin yanında bulundurması yasaktır.
Öğrencinin sağlık durumu için bilgi vermem gerekiyor mu?,"Okula kayıt esnasında gerekli temel bilgiler temin edilip daha sonra da alınabilmektedir, Hastalık drumunda okula bildirilmesi iyi olacaktır."
Veli olarak okulda görüşme yapmam gerektiğinde ne yapmalıyım?,Görüşmek istediğiniz birimin/ öğretmenin görüşme saatlerinde okula gelerek görüşebilrisniz.
Okula geç kalınırsa ne yapılmalı?,Geç kağıdı alınarak derse dahil olunmalıdır
Sınıf listeleri nereden öğrenilebilir?,E okul ve EBA üzerinden öğrenilebilmektedir.
Sınav notları ne zaman sisteme giriliyor?,Sınav döneminden sonra ki 2 haftalık süre içinde.
E-okul şifresi nasıl alınır?,Velinizin e devleti üzerinden alınmaktadır.
Raporlu olduğum günlerde sınavlara nasıl girerim?,Raporunuzu tebliğ ederek telafi sınavlarına girebilirisniz.
Disiplin puanım düşerse ne olur?,Alt limitlere yaklaşması durumunda farklı cezaları mevcuttur.
Sosyal etkinlik puanı nasıl toplanır?,Okulumuzda mevcut değildir.
Kulüplere nasıl başvurabilirim?,"Kulüp alımları sene başında yapılamktadır, sene ortasınd ailgili kulbün öğretmeni ile iletişime geçmeniz gerekemtedir."
Okulda kaç çeşit kulüp var?,15 üzeri kulübümüz mevcut.
Staj yapan öğrenciler hangi belgelere ihtiyaç duyar?,Staj yapılamamaktadır.
Geç kalan öğrenci sınıfa alınır mı?,Derse kabul kağıdı ile alınmaktadır.
Nöbetçi öğretmen kim? Nerede bulabilirim?,Kolidorlarda nöbetçi maslarında bulabilrisniz.
Okulda kayıp eşya nereye teslim edilir?,Okul memuruna teslim edebilirsiniz.
Kütüphane üyeliği nasıl yapılır?,Kütüphane görevlisi öğrenciler ile iletşime geçerek kayıt işlemlerini yapabilrisiniz.
Sportif faaliyetlere katılmak için ne yapmak gerekir?,Beden eğitimi çğretmenlerimiz ile iletşime geçebilirsiniz.
Laboratuvar kullanımı için izin gerekir mi?,Biyoloji ve Fizik öğretmenlerinden izin almanız gerekmektedir.
Kantinde yemek fiyatları neye göre belirleniyor?,Bakanlığın belirlediği fiyat çizelgesine göre belirlenmektedir.
Öğrenci kimlik kartı yenileme işlemi nasıl yapılır?,Müdür yardımcıları ile iletşime geçmeniz gerekmektedir.
Nakil işlemi nasıl gerçekleştirilir?,Nakil süreci e okul ve okul memurundan ilerleyen bir süreçtir. Hakkında detaylı bilgi internet üzerinde mevcuttur
Transkript belgesi nasıl alınır?,Okul memurundan alınmaktadır.
Mezuniyet belgesi ne zaman verilir?,Resmi okul dönemi sona erdiğinde alınabilmektedir.
Öğrenci belgesi kaç günde hazırlanır?,İstendiği an teslim edilir.
Devamsızlık itiraz dilekçesi nasıl hazırlanır?,"Okul yönetimine resmi bir ağızla yazılır, içinde devamsılık ve sebebi hakkında bilgi bulunmalıdır."
Okul kaydı sildirme işlemi nasıl yapılır?,Okul memuru üzerinden yapılmaktadır.
Takdir veya teşekkür belgesi nasıl alınır?,Karne ortalması ile alınmaktadır 70 ve 85 ortalama barajları bulunmaktadır.
Disiplin cezası alındığında veliye bildirilir mi?,"Evet, gerekli kanallar velilerle iletişime gçer ve bildirir."
Veli izin dilekçesi nereden alınır?,Okul memurundan alınır.
Geçerli mazeretle sınava giremeyen öğrenci ne yapmalı?,Raporunu veya dilekçesini ibraz ederek telafi sınavına girmelidir.
Sağlık raporunun geçerli olması için şartlar nedir?,"Resmi makamlardan alınıp ıslak imzalı olmalıdır, Son 6 ay içinde alınmalıdır."
Adres değişikliğinde okul bilgilendirilmeli mi?,Bildirlmeli ve güncellenmelidir.
Öğrencinin adı değişirse belge işlemleri nasıl yapılır?,Okul memuru üzerinden yapılmaktadır.
Öğrencinin T.C. kimlik numarası değişirse okul ne yapar?,Okul sistemde gerekli değişiklikleri yapar.
Okulda üniforma zorunlu mu?,Okulda üniforma zorunludur.
Saç ve sakal kuralları var mı?,Okul ortamına uygun bir saç ve sinek kaydı traş gerekliliği vardır.
Sınıfta telefon kullanmak yasak mı?,"Okul saatleri içerinde akıllı cihaz kullanmak yasaktır, tespiti durumunda cihaza el konur."
Derse geç kalan öğrenci ceza alır mı?,"Derse geç gelen öğrenci yok yazılır, istenirse disiplin cezası uygulanır."
Okulda sigara içmenin cezası nedir?,İlk ceza da kınama ve ardından farklı cezalar mevcuttur.
Mola süresi kaç dakikadır?,10 dakika normal tenefüs süresi ve 40 dkaika uzun tenefüs süresi vardır.
Öğle arası ne kadar sürüyor?,Öğle arası 40 dakika sürmektedir.
Okul çıkışı kaçta olur?,Dersler saat 15.00 da bitmektedir.
Acil tahliye tatbikatı ne zaman yapılır?,Yılın planlanan dönemlerinde afet ve acil durumlar için gerkeli tatbikat ve planlamalar yapılır.
Elektronik cihazlar için emanet yeri var mı?,Telefonlar kutularda toplanarak küütphanede muahfaza edilmektedir.
Veli bilgilendirme sistemi nasıl çalışıyor?,"Veli bilgilendirme sistemi notlar ve bazı noktalarda e okul üzerinden, okul ile ilgili olan süreçlerde Whatsapp grupları üzerinden yapılmaktadır."
Sınav sonuçları veliye bildiriliyor mu?,E okul üzerinden yapılmaktadır.
Öğrencinin psikolojik durumu için kimle görüşülür?,Rehberlik ve PDR servisi ile görüşebilirsiniz.
Veli toplantısına katılmayanlara ne olur?,Veli toplantısına katılmayan veliler güncel duyurular ve öğrenci durumları hakkında yapılan bildirilerden mahrum kalabilir.
Veli rehberlik görüşmesini nasıl planlayabilir?,Okul ile iletişime geçerek bu kontada gerekli randevuları alabilirler.
Öğrencinin başarısı düşükse veli aranır mı?,Öğrencinin başarısı ciddi oranda düşükse velisi aranarak bilgilendirilir ve gerekli adımalrın atılması sağlanır.
Veli sistemden hangi bilgilere ulaşabilir?,"VBS üzerinden not bilgisine, karnelere, belgelere vb ulaşılabilir."
Acil durumlarda veliye nasıl ulaşılır?,Telefon numaraları üzerinden ulaşılabilir.
Veli öğrencinin sınıf değiştirmesini talep edebilir mi?,Talep edilebilir ancak üst düzey durumalr harinde uygulamaya konulmamaktadır.
Kardeşi aynı okulda okuyan velilere özel uygulama var mı?,Ayrıcalık tanınmamaktadır.
E-okul sistemine nasıl giriş yapılır?,Web sitesi ve mobil uygulama üzerinden giriş yapabilirsiniz.
Karne e-okuldan görüntülenebilir mi?,Evet görüntülenebilir.
e-Devlet’ten alınan belgeler geçerli mi?,Evet geçerlidir.
Okul web sitesinde hangi bilgiler var?,"Ders programı, güncel haberler, konum ve ulaşım bilgileri gibi çeşitli bilgilere ulaşılabilir."
Veli bilgilendirme SMS sistemi nasıl aktif edilir?,Okul yönetimi tarafından aktif edilmektedir.
Okul duyurularını nereden takip edebilirim?,"Web sitesi, sms ve Whatsapp grupları üzerinden takip edilebilir"
"Öğrenci numaramı unuttum, ne yapmalıyım?",E okul veya Memurdan bilgi alabilrisiniz.
e-Karne ne zaman yayınlanır?,E karne resmi karne gününde yayınlanmaktadır.
"Öğrenci portalı şifremi unuttum, ne yapmalıyım?",Şifrenizi doğrulama kodu alarak sıfırlayabilrisiniz.
Öğrenci ders seçimini nereden yapar?,Öğreciler alan seçimlerini sene başında yapmaktadırlar
Mezuniyet sonrası okuldan hangi belgeler alınmalı?,"Diploma, mezuniyet belgesi ve not dökümü"
Mezunlar transkript almak için ne yapmalı?,Okul memuruna başvurabilir
Mezuniyet töreni bilgileri nerede yayınlanır?,Whatsapp grubunda paylaşılır.
Mezunlar öğrenci kartını iade etmeli mi?,Hayır onlarda kalabilmrktedir.
Mezuniyet sonrası okul kaydı ne zaman kapanır?,okulun resmi kapanış tarihinde kapanacktır.
Mezun olanlar okulun sosyal medya gruplarına dahil olabilir mi?,"Evet, okulun resmi hesaplarına herkes dahil olabilir."
Mezuniyet yıllığında isim yazdırmak için ne yapılmalı?,İsim yazdıracak kişinin sınıf öğretmeni ile iletişime geçmesi gereklidir.
Mezuniyet kıyafeti okuldan mı alınır?,Evet mezuniyet öncesi ücreti karşılığında geçici olarak teslim edilmektedir.
Mezuniyet sonrası okul e-posta adresi aktif kalır mı?,"Hayır, k12 uzantılı mail adresleri kendisini kapatmaktadır."
Mezunlar okulda staj yapabilir mi?,staj doneminiz geldiğinde ilgili kişilerle görüşebilirsiniz.
Öğrenci sosyal medya hesaplarında okul ismini kullanabilir mi?,Öğrencilerin sosyal medya hesaplarında okul ismini kullanmaları yasaktır.
Disiplin cezası alan öğrenci ne zaman bilgilendirilir?,Disiplin kurulu kararı verdikten sonra öğrenciye bilgi verilecektir.
Disiplin cezası alan veliye yazılı bildirim yapılır mı?,Gerekli kanallar üzerinden velilere bildirim yapılmaktadır.
"Kınama cezası nedir, hangi durumlarda verilir?",Bütün durumlar devletin yayınlamış olduğu makalede detaylı şekilde anlatılmıştır.
Okuldan uzaklaştırma cezası kaç gün olabilir?,Bir ila beş gün arasında uzaklaştırılabilir.
Disiplin puanı kaçtan başlar?,Her öğrencinin dönem yılı başıda puanı yüzdür.
"Disiplin kurulu nasıl toplanır, kimler katılır?",eğer ki disiplinlik bir durum varsa kurul toplanır. bu kurul seçilmiş öğretmenlerden oluşur
Disiplin cezası sicile işler mi?,Evet kişinin siciline aldığı ceza ve yaptığı hareketler işlenir. Gelecekte siciline yansır.
Uyarı cezası alan öğrenci yeniden ceza alırsa ne olur?,Öğrenciye bir sonraki cezasında kınama cezası uygulanır.
Disiplin cezasına itiraz edilebilir mi?,Disiplin kurlunun kararının tebliğinden itibaren 7 gün içinde itiraz edilebilir.
Disiplin cezası affı var mı?,Disiplin kurulunda cezanın kaldırılmasına ve ceza puanının iadesine karar verilebilir.
Kayıt sırasında adres uyuşmazlığı olursa ne yapılır?,Okulumuz adres tabanlı bir okul değildir. istediğiniz adresten kayıt yapabilirsiniz.
Veli bilgileri değişirse okul nasıl bilgilendirilir?,Okul memuru veya sınıf öğretmeniniz ile ileitşime geçebilirsiniz.
Öğrenciye zimmetli kitaplar ne zaman iade edilir?,Kitaplar yönetmelikte toplanmamaktadır. Ancak okulumuzda geri dönüşüm amaçlı toplanmaktadır.
Öğrencinin karnesi kaybolursa yeniden nasıl çıkarılır?,Eokul VBS sistemi üzerinden
Yedek kıyafet getirmek zorunlu mu?,Okula yedek kıyafet getirmek gibi bir zorunluk yoktur.
